dataset,size,quality,algorithm,signal,seed,mi_value
PBMC,464,0.050973,SCVI,protein_counts,2303,2.61683
PBMC,464,0.050973,SCVI,protein_counts,2701,2.61145
PBMC,464,0.1072766,Geneformer,protein_counts,42,2.53518
PBMC,464,0.1072766,Geneformer,protein_counts,2303,2.52382
PBMC,464,0.1072766,Geneformer,protein_counts,2701,2.49777
PBMC,464,0.1072766,PCA,protein_counts,42,2.59968
PBMC,464,0.1072766,PCA,protein_counts,2303,2.54185
PBMC,464,0.1072766,PCA,protein_counts,2701,2.5933
PBMC,464,0.1072766,RandomProjection,protein_counts,42,1.87921
PBMC,464,0.1072766,RandomProjection,protein_counts,2303,1.93615
PBMC,464,0.1072766,RandomProjection,protein_counts,2701,1.87921
PBMC,464,0.1072766,SCVI,protein_counts,42,2.79211
PBMC,464,0.1072766,SCVI,protein_counts,2303,2.94326
PBMC,464,0.1072766,SCVI,protein_counts,2701,2.93202
PBMC,464,0.225772,Geneformer,protein_counts,42,2.58523
PBMC,464,0.225772,Geneformer,protein_counts,2303,2.44055
PBMC,464,0.225772,Geneformer,protein_counts,2701,2.29091
PBMC,464,0.225772,PCA,protein_counts,42,2.91394
PBMC,464,0.225772,PCA,protein_counts,2303,2.9232
PBMC,464,0.225772,PCA,protein_counts,2701,2.942
PBMC,464,0.225772,RandomProjection,protein_counts,42,2.34458
PBMC,464,0.225772,RandomProjection,protein_counts,2303,2.30841
PBMC,464,0.225772,RandomProjection,protein_counts,2701,2.34458
PBMC,464,0.225772,SCVI,protein_counts,42,2.96634
PBMC,464,0.225772,SCVI,protein_counts,2303,2.52102
PBMC,464,0.225772,SCVI,protein_counts,2701,2.64744
PBMC,464,0.4751547,Geneformer,protein_counts,42,2.93756
PBMC,464,0.4751547,Geneformer,protein_counts,2303,2.98806
PBMC,464,0.4751547,Geneformer,protein_counts,2701,2.94467
PBMC,464,0.4751547,PCA,protein_counts,42,3.28967
PBMC,464,0.4751547,PCA,protein_counts,2303,3.32751
PBMC,464,0.4751547,PCA,protein_counts,2701,3.36313
PBMC,464,0.4751547,RandomProjection,protein_counts,42,2.62211
PBMC,464,0.4751547,RandomProjection,protein_counts,2303,2.61263
PBMC,464,0.4751547,RandomProjection,protein_counts,2701,2.62211
PBMC,464,0.4751547,SCVI,protein_counts,42,2.86707
PBMC,464,0.4751547,SCVI,protein_counts,2303,2.94705
PBMC,464,0.4751547,SCVI,protein_counts,2701,2.69833
PBMC,464,1.0,Geneformer,protein_counts,42,3.01741
PBMC,464,1.0,Geneformer,protein_counts,2303,3.04693
PBMC,464,1.0,Geneformer,protein_counts,2701,3.0653
PBMC,464,1.0,PCA,protein_counts,42,3.71504
PBMC,464,1.0,PCA,protein_counts,2303,3.65544
PBMC,464,1.0,PCA,protein_counts,2701,3.74268
PBMC,464,1.0,RandomProjection,protein_counts,42,2.8748
PBMC,464,1.0,RandomProjection,protein_counts,2303,2.86534
PBMC,464,1.0,RandomProjection,protein_counts,2701,2.8748
PBMC,464,1.0,SCVI,protein_counts,42,2.88246
PBMC,464,1.0,SCVI,protein_counts,2303,3.05632
PBMC,464,1.0,SCVI,protein_counts,2701,3.0238
