dataset,size,quality,size_rank,curve,step,loss,is_best_checkpoint
PBMC,100000,0.0025982,large,train,20000,4.6769,False
PBMC,100000,0.0025982,large,train,21000,4.6751,False
PBMC,100000,0.0025982,large,train,22000,4.6528,False
PBMC,100000,0.0025982,large,train,23000,4.6709,False
PBMC,100000,0.0025982,large,train,24000,4.6381,False
PBMC,100000,0.0025982,large,train,25000,4.6469,False
PBMC,100000,0.0025982,large,train,26000,4.6399,False
PBMC,100000,0.0025982,large,train,27000,4.6279,False
PBMC,100000,0.0025982,large,val,1000,6.018717288970947,False
PBMC,100000,0.0025982,large,val,2000,5.088677883148193,False
PBMC,100000,0.0025982,large,val,3000,4.632726192474365,False
PBMC,100000,0.0025982,large,val,4000,4.528430461883545,False
PBMC,100000,0.0025982,large,val,5000,4.281352519989014,False
PBMC,100000,0.0025982,large,val,6000,4.216624736785889,False
PBMC,100000,0.0025982,large,val,7000,4.234923362731934,False
PBMC,100000,0.0025982,large,val,8000,4.0399627685546875,False
PBMC,100000,0.0025982,large,val,9000,4.121921062469482,False
PBMC,100000,0.0025982,large,val,10000,4.099607467651367,False
