dataset,algo,signal,seed,size,quality,quality_str,step,mi
shendure,Geneformer,author_day,42,4641,0.5414548,0.5414548,12000,1.68014
shendure,Geneformer,author_day,42,4641,0.5414548,0.5414548,13000,1.64259
shendure,Geneformer,author_day,42,4641,1.0,1.0,1000,0.86154
shendure,Geneformer,author_day,42,4641,1.0,1.0,2000,1.30782
shendure,Geneformer,author_day,42,4641,1.0,1.0,3000,1.40945
shendure,Geneformer,author_day,42,4641,1.0,1.0,4000,1.55076
shendure,Geneformer,author_day,42,4641,1.0,1.0,5000,1.64997
shendure,Geneformer,author_day,42,4641,1.0,1.0,6000,1.70449
shendure,Geneformer,author_day,42,4641,1.0,1.0,7000,1.71212
shendure,Geneformer,author_day,42,4641,1.0,1.0,8000,1.73246
shendure,Geneformer,author_day,42,4641,1.0,1.0,9000,1.75424
shendure,Geneformer,author_day,42,4641,1.0,1.0,10000,1.75124
shendure,Geneformer,author_day,42,4641,1.0,1.0,11000,1.78757
shendure,Geneformer,author_day,42,4641,1.0,1.0,12000,1.76775
shendure,Geneformer,author_day,42,4641,1.0,1.0,13000,1.77689
shendure,Geneformer,author_day,42,16681,0.004,0.004,1000,0.18376
shendure,Geneformer,author_day,42,16681,0.004,0.004,2000,0.21974
shendure,Geneformer,author_day,42,16681,0.004,0.004,3000,0.22872
shendure,Geneformer,author_day,42,16681,0.004,0.004,4000,0.25583
shendure,Geneformer,author_day,42,16681,0.004,0.004,5000,0.24175
shendure,Geneformer,author_day,42,16681,0.004,0.004,6000,0.24012
shendure,Geneformer,author_day,42,16681,0.004,0.004,7000,0.25025
shendure,Geneformer,author_day,42,16681,0.004,0.004,8000,0.26956
shendure,Geneformer,author_day,42,16681,0.004,0.004,9000,0.24305
shendure,Geneformer,author_day,42,16681,0.004,0.004,10000,0.25431
shendure,Geneformer,author_day,42,16681,0.004,0.004,11000,0.25371
shendure,Geneformer,author_day,42,16681,0.004,0.004,12000,0.25233
shendure,Geneformer,author_day,42,16681,0.0073875,0.0073875,1000,0.25321
shendure,Geneformer,author_day,42,16681,0.0073875,0.0073875,2000,0.28626
shendure,Geneformer,author_day,42,16681,0.0073875,0.0073875,3000,0.29822
shendure,Geneformer,author_day,42,16681,0.0073875,0.0073875,4000,0.34552
shendure,Geneformer,author_day,42,16681,0.0073875,0.0073875,5000,0.3385
shendure,Geneformer,author_day,42,16681,0.0073875,0.0073875,6000,0.37378
shendure,Geneformer,author_day,42,16681,0.0073875,0.0073875,7000,0.34985
shendure,Geneformer,author_day,42,16681,0.0073875,0.0073875,8000,0.34338
shendure,Geneformer,author_day,42,16681,0.0073875,0.0073875,9000,0.34802
